pk,record,datetime,user,project_id,VarLabel,VarName,VarDescription,FieldType,VarBlank,VarNull,Identifier,VarMaxDigits,VarMaxDecimalPlaces,VarMaxLength
34,1,2012-08-15 18:47,lisa,7,"NCCT showing tumor, intracerebral hemorrhage, subdural hematoma or other space-occupying lesion",spaceOccupyingLesion,Space-occupying lesion,RadioButton,0,1,0,NULL,NULL,NULL
35,1,2012-08-15 19:00,lisa,7,"Deficits felt by the investigator to be definitively of non-vascular origin (e.g. migraine, hypoglycemia, seizure, obvious psychogenic cause of deficits etc.)",deficitsFeltByInestigator,Deficits felt by Investigator,RadioButton,0,1,0,NULL,NULL,NULL
36,1,2012-08-15 19:04,lisa,7,Serious co-morbid illness that would result in the patient being unlikely to survive three months,seriousCoMorbidIllness,Serious Co-Morbid Illness,RadioButton,0,1,0,NULL,NULL,NULL
37,1,2012-08-15 19:05,lisa,7,Unable to Follow Up (telephone or visit),unabletofollowup,Unable to Follow Up (Telephone or Visit),RadioButton,0,1,0,NULL,NULL,NULL
38,1,2012-08-15 19:07,lisa,7,Signature,signaturePg2,Signature,CharField,0,0,0,NULL,NULL,50
39,1,2012-08-15 19:08,lisa,7,Date,datePg2,Date,DateField,0,0,0,NULL,NULL,NULL
40,1,2012-08-15 19:09,lisa,7,Subjects Initials,subjectInitialspg3,Subject Initials,CharField,0,0,0,NULL,NULL,5
41,1,2012-08-15 19:10,lisa,7,Subject#:,subjectNumberPg3,Subject #:,CharField,0,0,0,NULL,NULL,5
42,1,2012-08-15 19:10,lisa,7,Subject Name,subjectNamePg3,Subject Name,CharField,0,0,0,NULL,NULL,50
43,1,2012-08-15 19:11,lisa,7,RHRN:,rhrnPg3,RHRN:,CharField,0,0,0,NULL,NULL,15
44,1,2012-08-15 19:12,lisa,7,Gender,genderPg3,Gender,RadioButton,0,1,0,NULL,NULL,NULL
45,1,2012-08-15 19:13,lisa,7,DOB,dateOfBirthPg3,DOB (d/m/y),DateField,0,0,0,NULL,NULL,NULL
46,1,2012-08-15 19:14,lisa,7,Name of Trial,nameOfTrial,Name of Trial,CharField,0,0,0,NULL,NULL,100
47,1,2012-08-15 19:15,lisa,7,Enrolled into another Trial,enrolledIntoAnotherTrial,Entered Into Another Trial,RadioButton,0,1,0,NULL,NULL,NULL
48,1,2012-08-15 19:20,lisa,7,Date of Stroke,dateOfStrokePg3,Date of Stroke,DateField,0,0,0,NULL,NULL,NULL
49,1,2012-08-15 19:33,lisa,7,Time of Symptom Onset in the past 24 hours (last seen normal time)-Stroke on awakening/onset not witnessed,timeofstrokeOnAwakiningNotWitnessed,Time of Symptom onset (24 hour) Stroke on awakining/onset not witnessed,RadioButton,0,1,0,NULL,NULL,NULL
50,1,2012-08-15 19:35,lisa,7,Time of Symptom Onset in the past 24 hours (last seen normal time)-Stroke on awakening/onset witnessed,timeofstrokeOnAwakiningWitnessed,Stroke Witnessed,RadioButton,0,1,0,NULL,NULL,NULL
51,1,2012-08-15 19:37,lisa,7,Time of Initial CT (24 hour) Scan of good quality,timeOfInitialCT,Time of Initial CT (24 hour),RadioButton,0,1,0,NULL,NULL,NULL
52,1,2012-08-15 19:38,lisa,7,Affected hemisphere clinically,affectedhemisphereclinically,Affected Hemisphere Clinically,RadioButton,0,1,0,NULL,NULL,NULL
53,1,2012-08-15 19:40,lisa,7,Affected side on CT,affectedsideonCt,Affected side on CT,RadioButton,0,1,0,NULL,NULL,NULL
54,1,2012-08-15 19:41,lisa,7,ASPECTS at baseline (NCCT):  Please shade the affected areas,aspectsAtBaseline,Aspects at Baseline,TextField,0,0,0,NULL,NULL,NULL
55,1,2012-08-15 19:42,lisa,7,Site of Occlusion:,siteofocclusion,Site of Occlusion,CharField,0,0,0,NULL,NULL,100
56,1,2012-08-15 19:43,lisa,7,Collaterals:,collaterals,Collaterals:,RadioButton,0,1,0,NULL,NULL,NULL
57,1,2012-08-15 19:44,lisa,7,Signature Page 3,signaturePg3,Signature Page 3,CharField,0,0,0,NULL,NULL,100
58,1,2012-08-15 19:45,lisa,7,Date Page 3,datePg3,Date Page 3,DateField,0,0,0,NULL,NULL,NULL
59,1,2012-08-15 19:46,lisa,7,Subject Initials Page 4,subjectInitialspg4,Subject Initials Page 4,CharField,0,0,0,NULL,NULL,15
60,1,2012-08-15 19:47,lisa,7,Subject #:,subjectNumberPg4,Subject # Page 4,CharField,0,0,0,NULL,NULL,15
61,1,2012-08-15 19:48,lisa,7,Past Medical and Surgical History:,pastMedicalAndSurgicalHistory,past Medical and Surgical History,CharField,0,0,0,NULL,NULL,1
62,1,2012-08-15 19:49,lisa,7,Cardiac,cardiac,Cardiac,RadioButton,0,0,0,NULL,NULL,NULL
63,1,2012-08-15 19:50,lisa,7,CAD Recent 9within last 6 months),cadRecent_WithinLast6Mths,CAD Recent (within last six months),BooleanField,0,0,0,NULL,NULL,NULL
64,1,2012-08-15 19:52,lisa,7,CAD Past,cadPast,CAD Past,BooleanField,0,0,0,NULL,NULL,NULL
65,1,2012-08-15 19:53,lisa,7,Congestive Heart Failure,congestiveHeartFailure,Congestive Heart Failure,BooleanField,0,0,0,NULL,NULL,NULL
66,1,2012-08-15 19:54,lisa,7,Valvular Heart Disease,valvularHeartDisease,Valvular Heart Disease,BooleanField,0,0,0,NULL,NULL,NULL
67,1,2012-08-15 19:54,lisa,7,Others,others,Others,CharField,0,0,0,NULL,NULL,100
68,1,2012-08-15 19:57,lisa,7,Others,others1,Others,BooleanField,0,0,0,NULL,NULL,NULL
69,1,2012-08-15 20:12,paulina,1,Visit Date,Visit_Date,Date of patient visit,DateField,0,0,0,NULL,NULL,NULL
70,1,2012-08-15 20:37,paulina,1,Assessor Initials,Assessor_Initials,Initials of person doing first assessment,CharField,1,0,1,NULL,NULL,3
71,1,2012-08-15 20:42,paulina,1,Assessor Profession,Assessor_Profession,Profession of Assessor,RadioButton,0,0,0,NULL,NULL,NULL
72,1,2012-08-15 22:27,paulina,1,Epileptologist,Epileptologist,Epileptologist making assessment,RadioButton,0,0,0,NULL,NULL,NULL
73,1,2012-08-16 20:32,lisa,7,None,none,None,BooleanField,0,0,0,NULL,NULL,NULL
74,1,2012-08-16 20:34,lisa,7,Stroke/TIA,strokeTIA,Stroke/TIA:,CharField,0,0,0,NULL,NULL,50
75,1,2012-08-16 20:35,lisa,7,Recent (within last 2 weeks),recentWithinLast2Weeks,Recent (within last two weeks),BooleanField,0,0,0,NULL,NULL,NULL
76,1,2012-08-16 20:38,lisa,7,Past (Indicate number of events and years),pastNumberOfEventsAndYears,Past (Indicate number of events and years),BooleanField,0,0,0,NULL,NULL,NULL
77,1,2012-08-16 20:42,lisa,7,Past (Indicate number of events and years),pastIndicateNumberOfEventsAndYears,Past (Indicate number of events and years),CharField,0,0,0,NULL,NULL,100
78,1,2012-08-16 20:42,lisa,7,None,none2,None,BooleanField,0,0,0,NULL,NULL,NULL
79,1,2012-08-16 20:44,lisa,7,Hypertension,hypertension,Hypertension,RadioButton,0,1,0,NULL,NULL,NULL
80,1,2012-08-16 20:46,lisa,7,Peripheral Vascular Disease,peripheralVascularDisease,Peripheral Vascular Disease,RadioButton,0,1,0,NULL,NULL,NULL
81,1,2012-08-16 20:47,lisa,7,Dyslipidemia,dyslipidemia,Dyslipidemia,RadioButton,0,1,0,NULL,NULL,NULL
82,1,2012-08-16 20:50,lisa,7,Atrial Fibrillation,atrialFibrillation,Atrial Fibrillation,BooleanField,0,0,1,NULL,NULL,NULL
83,1,2012-08-16 20:59,lisa,7,Atrial Fibrillation2,atrialFibrillation2,Atrial Fibrillation2,RadioButton,0,1,0,NULL,NULL,NULL
84,1,2012-08-16 21:00,lisa,7,On Anticoagulation,onAnticoagulation,On Anticoagulation,RadioButton,0,1,0,NULL,NULL,NULL
85,1,2012-08-16 21:01,lisa,7,Diabetes,diabetes,Diabetes,RadioButton,0,1,0,NULL,NULL,NULL
86,1,2012-08-16 21:03,lisa,7,Smoking,smoking,Smoking,RadioButton,0,1,0,NULL,NULL,NULL
87,1,2012-08-16 21:04,lisa,7,Smoking Page 4,smoking4,Smoking Page 4,RadioButton,0,1,0,NULL,NULL,NULL
88,1,2012-08-16 21:05,lisa,7,Smoking 2,smoking2,Smoking 2,CharField,0,0,0,NULL,NULL,15
89,1,2012-08-16 21:06,lisa,7,Alcohol,alcohol,Alcohol,RadioButton,0,1,0,NULL,NULL,NULL
90,1,2012-08-16 21:08,lisa,7,Alcohol Page 4,alcoholPg4,Alcohol Page 4,CharField,0,0,0,NULL,NULL,50
91,1,2012-08-16 21:20,lisa,7,Known carotid disease,knownCarotidDisease,Known carotid disease,RadioButton,0,1,0,NULL,NULL,NULL
92,1,2012-08-17 16:11,lisa,7,Known Carotid Disease 2,nownCarotidDisease2,Known Carotid Disease 2,BooleanField,0,0,0,NULL,NULL,NULL
93,1,2012-08-17 16:12,lisa,7,Known Carotid Disease 3,knownCarotidDisease3,Known Carotid Disease 3,BooleanField,0,0,0,NULL,NULL,NULL
94,1,2012-08-17 16:13,lisa,7,Relevant Family History (Describe):,relevantFamilyHistoryDescribe,Relevant Family History,CharField,0,0,0,NULL,NULL,100
95,1,2012-08-17 16:14,lisa,7,Signature Page 4,signaturePg4,Signature Page 4,CharField,0,0,0,NULL,NULL,50
96,1,2012-08-17 16:14,lisa,7,Date Page 4,datePg4,Date Page 4,DateField,0,0,0,NULL,NULL,NULL
97,1,2012-08-17 16:15,lisa,7,Subject Initials Page 5,subjectInitialspg5,Subject Initials Page 5,CharField,0,0,0,NULL,NULL,5
98,1,2012-08-17 16:16,lisa,7,Subject#: Page 5,subjectNumberPg5,Subject # Page 5,CharField,0,0,0,NULL,NULL,10
99,1,2012-08-17 16:18,lisa,7,Medications:,medications,Medications,CharField,0,0,0,NULL,NULL,1
100,1,2012-08-17 16:18,lisa,7,Aspirin,aspirin,Aspirin,BooleanField,0,0,0,NULL,NULL,NULL
101,1,2012-08-17 16:19,lisa,7,Clopidogrel,clopidogrel,Clopidogrel,BooleanField,0,0,0,NULL,NULL,NULL
102,1,2012-08-17 16:21,lisa,7,Aggrenox,aggrenox,Aggrenox,BooleanField,0,0,0,NULL,NULL,NULL
103,1,2012-08-17 16:21,lisa,7,Warfarin,warfarin,Warfarin,BooleanField,0,0,0,NULL,NULL,NULL
104,1,2012-08-17 16:22,lisa,7,Dabigatran,dabigatran,Dabigatran,BooleanField,0,0,0,NULL,NULL,NULL
105,1,2012-08-17 16:23,lisa,7,Rivaroxaban,rivaroxaban,Rivaroxaban,BooleanField,0,0,0,NULL,NULL,NULL
106,1,2012-08-17 16:23,lisa,7,Statins,statins,Statins,BooleanField,0,0,0,NULL,NULL,NULL
107,1,2012-08-17 16:24,lisa,7,Statins2,statins2,Statins2,CharField,0,0,0,NULL,NULL,50
108,1,2012-08-17 16:26,lisa,7,Statins:  Indicate dose,statinsIndicateDose,Statins Indicate Dose,CharField,0,0,0,NULL,NULL,50
109,1,2012-08-17 16:27,lisa,7,Antihypertensives,antihypertensives,Antihypertensives,BooleanField,0,0,0,NULL,NULL,NULL
110,1,2012-08-17 16:29,lisa,7,Antihypertensives:  If on ACE/ARB please indicate name (s),antihypertensivesIfOnAceArbPleaseIndicateNames,Antihypertensives:  If on ACE/ARB please indicate names(s),CharField,0,0,0,NULL,NULL,100
111,1,2012-08-17 16:30,lisa,7,Oral Contraceptive Pill,oralContraceptivePill,Oral Contraceptive Pill,BooleanField,0,0,0,NULL,NULL,NULL
112,1,2012-08-17 16:30,lisa,7,Insulin,insulin,Insulin,BooleanField,0,0,0,NULL,NULL,NULL
113,1,2012-08-17 16:31,lisa,7,Biguanides,biguanides,Biguanides,BooleanField,0,0,0,NULL,NULL,NULL
114,1,2012-08-17 16:31,lisa,7,Other OHA's,otherOHA,Other OHA's,BooleanField,0,0,0,NULL,NULL,NULL
115,1,2012-08-17 16:32,lisa,7,Nitro Patch,nitroPatch,Nitro Patch,BooleanField,0,0,0,NULL,NULL,NULL
116,1,2012-08-17 16:32,lisa,7,Other,other,Other,BooleanField,0,0,0,NULL,NULL,NULL
117,1,2012-08-17 16:33,lisa,7,Other,otherPage5,Other,CharField,0,0,0,NULL,NULL,100
118,1,2012-08-17 16:33,lisa,7,ECG:,ecg,ECG:,BooleanField,0,0,0,NULL,NULL,NULL
119,1,2012-08-17 16:34,lisa,7,Normal Sinus Rhythm,normalSinusRhythm,Normal Sinus Rhythm,BooleanField,0,0,0,NULL,NULL,NULL
120,1,2012-08-17 16:35,lisa,7,Atrial Fibrillation,atrialFibrillationPage5,Atrial Fibrillation,BooleanField,0,0,0,NULL,NULL,NULL
121,1,2012-08-17 16:35,lisa,7,LVH,lvh,LVH,BooleanField,0,0,0,NULL,NULL,NULL
122,1,2012-08-17 16:36,lisa,7,Old MI,oldMi,Old MI,BooleanField,0,0,0,NULL,NULL,NULL
123,1,2012-08-17 16:37,lisa,7,Acute ST-T Changes,acuteSt_tChanges,Acute ST-T Changes,BooleanField,0,0,0,NULL,NULL,NULL
124,1,2012-08-17 16:38,lisa,7,Others:,othersPage5_2,Others:,BooleanField,0,0,0,NULL,NULL,NULL
125,1,2012-08-17 16:38,lisa,7,Others:,othersPage5_2a,Others:,CharField,0,0,0,NULL,NULL,100
126,1,2012-08-17 16:39,lisa,7,Treatment Decision:,treatmentdecision,Treatment Decision:,BooleanField,0,0,0,NULL,NULL,NULL
127,1,2012-08-17 16:40,lisa,7,IV tPA,ivTPA,IV tPA,BooleanField,0,0,0,NULL,NULL,NULL
128,1,2012-08-17 16:41,lisa,7,Tenecteplase,tenecteplase,Tenecteplase,BooleanField,0,0,0,NULL,NULL,NULL
129,1,2012-08-17 16:41,lisa,7,Time Initiated,timeInitiated,Time Initiated,CharField,0,0,0,NULL,NULL,50
130,1,2012-08-17 16:42,lisa,7,Dose,dose,Dose,CharField,0,0,0,NULL,NULL,50
131,1,2012-08-17 16:43,lisa,7,IA:  Groin Puncture Time,iaGroinPunctureTime,IA:  Groin Puncture Time,BooleanField,0,0,0,NULL,NULL,NULL
132,1,2012-08-17 16:44,lisa,7,IA:  Groin Puncture Time Page 5,iaGroinPunctureTimePage5,IA:  Groin Puncture Time Page 5,CharField,0,0,0,NULL,NULL,25
133,1,2012-08-17 17:02,lisa,7,Recanalization,recanalization,Recanalization,RadioButton,0,1,0,NULL,NULL,NULL
134,1,2012-08-17 17:04,lisa,7,Time,time,Time,TimeField,0,0,0,NULL,NULL,NULL
135,1,2012-08-17 17:05,natalie,3,Date of Birth,DOB,Subject dob,DateField,0,1,0,NULL,NULL,NULL
136,1,2012-08-17 17:05,lisa,7,Antithrombotic,antithrombotic,Antithrombotic,BooleanField,0,0,0,NULL,NULL,NULL
137,1,2012-08-17 17:06,lisa,7,Heparin,heparin,Heparin,BooleanField,0,0,0,NULL,NULL,NULL
138,1,2012-08-17 17:06,natalie,3,Gender-Male,GenderMale,Gender- male option,BooleanField,0,0,0,NULL,NULL,NULL
139,1,2012-08-17 17:06,lisa,7,ASA,asa,ASA,BooleanField,0,0,0,NULL,NULL,NULL
140,1,2012-08-17 17:07,lisa,7,Clopidogrel,clopidogrelPage5,Clopidogrel,BooleanField,0,0,0,NULL,NULL,NULL
141,1,2012-08-17 17:07,natalie,3,Gender- Female,GenderFemale,Gender- female option,BooleanField,0,0,0,NULL,NULL,NULL
142,1,2012-08-17 17:07,lisa,7,Warfarin,warfarinPage5,Warfarin,BooleanField,0,0,0,NULL,NULL,NULL
143,1,2012-08-17 17:08,lisa,7,Dabigatran,dabigatranPage5,Dabigatran,BooleanField,0,0,0,NULL,NULL,NULL
144,1,2012-08-17 17:08,natalie,3,RHRH,RHRH,RHRH,CharField,0,0,0,NULL,NULL,25
145,1,2012-08-17 17:08,lisa,7,Rivaroxaban,rivaroxabanPage5,Rivaroxaban,BooleanField,0,0,0,NULL,NULL,NULL
146,1,2012-08-17 17:11,lisa,7,Type of Anesthesia - For 1A (Tick Multiple Options if used),typeOfAnesthesia_For1A_TickMultipleOptionIfUsed,Type of Anesthesia - For 1A (Tick Multiple Options if used),CharField,0,0,0,NULL,NULL,1
147,1,2012-08-17 17:12,lisa,7,General anaesthesia,generalAnaesthesia,General Anaesthesia,BooleanField,0,0,0,NULL,NULL,NULL
148,1,2012-08-17 17:14,lisa,7,"Conscious Sedation (no Intubation, but use of anaesthetics like propofol)",consciousSedation,"Conscious Sedation (no Intubation, but use of anaesthetics like propofol)",BooleanField,0,0,0,NULL,NULL,NULL
149,1,2012-08-17 17:16,lisa,7,Sedation with Benzodiazepines,sedationWithBenzodiazepines,Sedation with Benzodiazepines,BooleanField,0,0,0,NULL,NULL,NULL
150,1,2012-08-17 17:18,lisa,7,Local Anaesthesia (Groin only),localAnaesthesia_GroinOnly,Local Anaesthesia (Groin only),BooleanField,0,0,0,NULL,NULL,NULL
151,1,2012-08-17 17:18,lisa,7,None,nonePage5,None,BooleanField,0,0,0,NULL,NULL,NULL
152,1,2012-08-17 17:19,lisa,7,Signature,signaturePg5,Signature,CharField,0,0,0,NULL,NULL,50
153,1,2012-08-17 17:19,lisa,7,Date,datePg5,Date,DateField,0,0,0,NULL,NULL,NULL
154,1,2012-08-17 17:40,lisa,7,Subject Initials Page 6,subjectInitialspg6,Subject Initials Page 6,CharField,0,0,0,NULL,NULL,5
155,1,2012-08-17 17:41,lisa,7,Subject #:,subjectNumberPg6,Subject #:,CharField,0,0,0,NULL,NULL,15
156,1,2012-08-17 18:32,lisa,7,Blood Pressure (mm Hg):,bloodPressure_mmHg,Blood Pressure (mm Hg):,CharField,0,0,0,NULL,NULL,1
157,1,2012-08-17 18:36,paulina,1,"Epileptologist-Other, Specify",Epileptologist_Other_Specify,Specify name of Epileptologist if not otherwise listed,CharField,1,0,1,NULL,NULL,30
158,1,2012-08-17 18:36,lisa,7,SBP Onset/Er,sbpOnset_Er,SBP Onset/Er,BigIntegerField,1,1,0,NULL,NULL,NULL
159,1,2012-08-17 18:36,natalie,3,Street address,StreetAddress,Street address,TextField,0,0,0,NULL,NULL,NULL
160,1,2012-08-17 18:37,lisa,7,SBP At CT/CTA,sbpAtCT_CTA,SBP At CT/CTA,BigIntegerField,1,1,0,NULL,NULL,NULL
161,1,2012-08-17 18:38,lisa,7,SBP Before IV tPA,sbpBeforeIvTpa,SBP Before IV tPA,BigIntegerField,1,1,0,NULL,NULL,NULL
162,1,2012-08-17 18:39,lisa,7,SBP When Device at Interface,sbpWhenDeviceAtInterface,SBP When Device at Interface,BigIntegerField,1,1,0,NULL,NULL,NULL
163,1,2012-08-17 18:39,lisa,7,SBP Recanalization,sbpRecanalization,SBP Recanalization,BigIntegerField,1,1,0,NULL,NULL,NULL
164,1,2012-08-17 18:40,lisa,7,DPB Onset/ER,dbpOnset_ER,DPB Onset/ER,BigIntegerField,1,1,0,NULL,NULL,NULL
165,1,2012-08-17 18:41,natalie,3,Home phone,homePhone,home phone number,BigIntegerField,0,0,0,NULL,NULL,NULL
166,1,2012-08-17 18:41,lisa,7,DBP At CT/CTA,dbpAtCT_CTA,DBP At CT/CTA,BigIntegerField,1,1,0,NULL,NULL,NULL
167,1,2012-08-17 18:41,natalie,3,Cell Phone,cellPhone,Cell phone number,BigIntegerField,0,0,0,NULL,NULL,NULL
168,1,2012-08-17 18:42,lisa,7,Before IV tPA,beforeIVTpa,Before IV tPA,BigIntegerField,1,1,0,NULL,NULL,NULL
169,1,2012-08-17 18:42,lisa,7,When Device at Interface,whenDeviceAtInterface,When Device at Interface,BigIntegerField,1,1,0,NULL,NULL,NULL
170,1,2012-08-17 18:43,natalie,3,Emergency contact Name,emergencyContactName,name of emergency contact,CharField,0,0,0,NULL,NULL,25
171,1,2012-08-17 18:43,lisa,7,DBP After Recanalization,dbpAfterRecanalization,DBP After Recanalization,BigIntegerField,1,1,0,NULL,NULL,NULL
172,1,2012-08-17 18:44,natalie,3,Emergency contact phone number,emergencyContactNumber,Emergency Contact's phone number,BigIntegerField,0,0,0,NULL,NULL,NULL
173,1,2012-08-17 18:44,natalie,3,Other contact,OtherContact,Other contact,CharField,0,0,0,NULL,NULL,25
174,1,2012-08-17 18:45,lisa,7,Lab Parameters:,labParameters,Lab Parameters:,DecimalField,1,1,0,15,15,NULL
175,1,2012-08-17 18:45,natalie,3,Referral Date,referralDate,Referral Date,DateField,0,0,0,NULL,NULL,NULL
176,1,2012-08-17 18:46,lisa,7,At Admission - Blood Glucose,atAdmission_BloodGlucose,At Admission - Blood Glucose,DecimalField,1,1,0,15,15,NULL
177,1,2012-08-17 18:47,natalie,3,ReferralTime,ReferralTime,Referral Time,TimeField,0,0,0,NULL,NULL,NULL
178,1,2012-08-17 18:47,lisa,7,At Admission - HB A1C,atAdmission_HBA1C,At Admission - HB A1C,DecimalField,1,1,0,15,15,NULL
179,1,2012-08-17 18:49,lisa,7,At Admission - Serum Creatinine,atAdmission_SerumCreatinine,At Admission - Serum Creatinine,BigIntegerField,1,1,0,NULL,NULL,NULL
180,1,2012-08-17 18:53,lisa,7,At Admission - Hemoglobin,atAdmission_Hemoglobin,At Admission - Hemoglobin,DecimalField,1,1,0,15,15,NULL
181,1,2012-08-17 18:54,lisa,7,At Admission - Hematocrit,atAdmission_Hematocrit,At Admission - Hematocrit,DecimalField,1,1,0,15,15,NULL
182,1,2012-08-17 18:55,paulina,1,Age at Onset < 1yr,Age_Onset_Less_Than_1yr,Age at onset of first seizure was less than 1 year ago,BooleanField,0,0,0,NULL,NULL,NULL
183,1,2012-08-17 18:55,lisa,7,At Admission - WBC Count,atAdmission_WbcCount,At Admission - WBC Count,DecimalField,1,1,0,15,15,NULL
184,1,2012-08-17 18:56,lisa,7,At Admission - INR,atAdmission_INR,At Admission - INR,DecimalField,1,1,0,15,15,NULL
185,1,2012-08-17 18:57,lisa,7,At Admission - PTT,atAdmission_PTT,At Admission - PTT,DecimalField,1,1,0,15,15,NULL
186,1,2012-08-17 18:58,lisa,7,At Admission - Platelet Count,atAdmission_plateletCount,At Admission - Platelet Count,DecimalField,1,1,0,15,15,NULL
187,1,2012-08-17 18:59,lisa,7,At Admission - ESR,atAdmission_ESR,At Admission - ESR,DecimalField,1,1,0,15,15,NULL
188,1,2012-08-17 19:00,natalie,3,Referral From GP,ReferralFromGP,Referral From GP,RadioButton,1,1,0,NULL,NULL,NULL
